genre,tags
Fiction,"Children, political science, Missing persons, Businesswomen, Identity (Psychology)., romcom, Contests, Fathers and daughters, Hell,  Classified, Russian Literature, Literary Fiction, England, Historical Romance, Custody of children, Homelessness, Family secrets, World War, Contemporary, Food, Adoptees, Black Love, Historians, Supernatural, Devil, Gay men, Identity (Psychology), Success, Murder, Political corruption, medieval, Mental health, Animals, Race, Actresses, Friends, Choice, Coma, Sports, Clergy, Abusive men, Western, Cyborgs, Relationships, Religion, Child abuse, Adoption, Indonesian language, Boarding school, Spanish fiction, Humorous stories, Adolescence, Abuse of administrative power, Anxiety disorders, Historical Fiction, Prisoners of war,  Latin American, Music, Criminal investigation, Battles, American drama, Climatic changes, erotica, Romance, Disasters, Business, Japanese fiction, Alcoholics, Africans, Artificial Intelligence, Chemical warfare, Gothic novels, French literature, Police, Biography & Autobiography, African American families, Drugs, Adventure stories, Aristocracy (Social class), Romantic Suspense, Middle Grade, Aging, Civilization, Domestic fiction, dystopian, Fathers, Graphic novels, Businessmen, Refugees, Young adult fantasy, Dark Romance, High Fantasy, Conspiracy, Caste, Ambassadors, Deaf people, Abandoned children, Magic realism (Literature), Biographers, Artificial life, Space warfare, Books About Books, Politics, Concentration camps, Fathers and sons, Nigeria, Contemporary Fiction, Self help, Memoir, Humanity, Gothic Horror, African Americans, Spirituality, Early memories, Cowboy Romance, Monsters, Dreams, Mexico, Allegories,  Folk Tales, Mysticism, Mafia, Cooking, Film, Women, Young Adult Fiction, Literary, greek mythology, DC Comics, War, Good and evil, Justice, Nature, Corporations, Family, Holocaust, Black Death, Fairy tales, Native Americans, Adventure, Abduction, Fantasy games,  American, Thriller, Christmas, Arms race, Emperors, Human-animal relationships, romcoms, Period piece, Clairvoyants, Womanhood, German fiction, Kidnapping victims, Dystopian, Romantic fantasy, Enemies to lovers, Business intelligence, Immigrants, Earth (Planet), Self-Help, Gay teenagers, Epic Fantasy, Caribbean, Dictatorship, Crime, Suspense, Carnivals, Kidnapping, Belief and doubt, Antiquities, Urban Fantasy, Imaginary wars and battles, relationships, Time Travel, Communists, Hallucinogenic drugs, Attempted assassination, Dark Comedy, Beauty, Chick Lit, Assassins, Russia, Romantic Comedy, Death, Extortion, Queer, literary criticism, Labor camps, Science, Poetry, Betrayal, Vietnam War, Middle Ages, Suspense fiction, Science fiction, Young Adult Romance, Prisoners, Angels,  Korean, Civil war, Climate and civilization, Short stories, Cyberculture, Illness, Figure skaters, Magic, Business communication,  Ancient, Private schools, Post-Apocalyptic Science Fiction, Horror fiction, Gay, Military, Adult Fiction, Manuscripts, Adventure and adventurers, Chess, Asia, Chief executive officers, Fashion editors, Genetic engineering, Brennan,  Australian, Neo-Western, Depression, Detective and mystery stories, Alzheimer's disease, Retellings, Imaginary places, Children's stories, Best friends, Addicts, Homeless children, Dinosaurs, College stories, Japan, Crime Fiction, Homecoming, World War I, Siblings, Animal behavior, Disability, Dune (Imaginary place), Classics, zombies, Brotherhoods, Camps, City and town life, Coming of Age, Language Arts & Disciplines, Castles, American fiction, Country life, Industrial relations, Aliens, Sweden, Families, Biography, witches, Accidents, Psychological thriller, Feminism, New adult, Broadsides, Spanish literature, Classical fiction, Cowboys, Young Adult, cyberpunk, Mentally ill, African American girls, Intelligence service, Middle East, Americans, India, Ballerinas, Literature, Medical, Romance fiction, Blind, LGBTQ, Plays, Friendship, autobiography, Sisters, Computers, Smutty, Space colonies, Cousins, Dark Academia, Governors, French drama, China, Artists, Dark, Covenant, Lesbians, Female friendship, Vampires, Drama, Anarchism, Love stories, Post World War, Philosophy, Fantastic fiction, Magic Realism, Memory, Gender identity, Soviet Union, Historical Fantasy, Russian fiction, Government, Celebrities, alien, Performing Arts, Mafia Romance, picture book, Spanish, Extraterrestrial beings, comedy, Folklore, Magical Realism, Space, Reincarnation, LGBTQ Literature, Gothic, Epidemics, Cold cases (Criminal investigation), multiverse, Popular literature, Travel, Satire, Fantasty fiction, Korea (North), Christmas stories, adult, Boys, Mystery fiction, Anonymous persons, Autobiographical fiction, Brothers, Asian American women, Comics, Deception, psychological horror, Great Britain,  artistic, communism, Education, Renaissance, science fantasy, Family & Relationships, Life on other planets, Tennis stories, Erotic stories, Christianity, Anthology, Military Fiction, Children's Literature, Supernatural Fiction, Philosophical, Romantasy, adult romances, France, Hackers, True crime, Fantasy romance, Psychology, Clairvoyance, Apprentices, Mental illness, Divorced people, American Dream, Space Horror, Defection, Clubs, Alchemists, STEM, Horror, Ambition, Literary Collections, Humorous fiction, Antislavery movements, Foster home care, Amnesiacs, United States, Dwarfs, ChickLit, Escort services, History, Feminist fiction, Fate and fatalism, Hockey Romance, Contemporary Romance, Comics & Graphic Novels, nan, Cults, Christian Fiction, Existentialism, Conspiracies,  Legends & Mythology, dragons, Sports Romance, Widows, Alcoholism, Goddesses, multimedia, American, English drama, Emotional problems, End of the world, Children's poetry, Arctic regions, teen, Antarctica, murder mystery, Dictators, Parenting, Cannibalism, gods, Fantasy,  Greek, Humor, Czech fiction, Nature stories, Grief, College students, Mystery, Dogs, Business & Economics, Period romance, Native American Literature, Asian Americans, British, American literature, African American gay men, Computer games, Crime investigation, social science, Arranged marriage, Germany, Fantasy fiction, Books, Art, African American teenage girls, Alchemy,  Subterranean, Japanese literature, Amnesia, Australia"
Unknown,nan
Young Adult,"Children, Adolescent psychology, Paranormal, Young Adult Fiction / Mysteries & Detective Stories, Contests, Fiction, Detective and mystery stories, Comics, Women, Nonfiction, Young Adult Fiction, Best friends, Education, Contemporary, War, High school, Crime Fiction, Family, Romantasy, Siblings, Forensic Science, Native Americans, Murder, Psychology, Adventure, Classics, Mental health, Coming of Age, Aliens, Apprentices,  American, Mental illness, Thriller, Biography, Deportation, detective, Horror, Religion, Dystopian, Boarding school, History, Historical Fiction, Health & Fitness, Conduct of life, Self-Help, Middle East, Literature, Contemporary Romance, Comics & Graphic Novels, nan, Crime, Suspense, Fairies, Romance, Urban Fantasy, LGBTQ, Caregivers, autobiography, Friendship, Fugitives from justice, Dark Academia, Biography & Autobiography, Lesbians, Adventure stories, Queer, literary criticism, Fantasy, Philosophy, Poetry, Science, Humor, Suspense fiction, Science fiction, Graphic novels, Young Adult Romance, Television plays, Young adult fantasy, College students, Mystery, High school students, Abused teenagers, Spanish, Attempted murder, Magic, Magical Realism, Children of Holocaust survivors, Space, Politics, Memoir, Evolution (Biology), African Americans, Asexuality, Amnesia, Bullies"
Horror,"Science fiction, Murder, Paranormal, Classics, Crime, Adventure, nan, adult, Suspense, American fiction, Romance, Haunted House, Mystery,  American, Journalists, Bioengineering, Short stories, literary horror, LGBTQ, Thriller, Friendship, Fiction, Foreign Language Study, Detective and mystery stories, Literary Fiction, Comics, Haunted houses, Children's stories, science fantasy, Police, Literary Collections, Family secrets, Dystopian, War, Good and evil, Young Adult, Gothic Horror, Supernatural Fiction, Best sellers, Fear, Fantasy, Supernatural, Humor, Literature, Accident victims"
History," Viking, political science, Games, Crime investigations, Veganism, Ethnic relations, Cooking, Comics, Women, Nonfiction, Mathematics, Biology, War, Nature, Finance, Family,  China, Diophantine analysis, Native Americans, True crime, Murder, Psychology, Classics, Adventure, Thriller, Sports, Biography, Historical, Religion & Spirituality, Religion, Anthropology, United States, Young Adult, History, Shipwreck survival, Racism, Antineoplastic agents, Health & Fitness, Immigrants, Music, Intelligence service, India, Rome, Literature, Cancer, Comics & Graphic Novels, Environmental degradation, Medical, Romance, Business, Developing countries, LGBTQ, Friendship, China, Biography & Autobiography, Debt, Antarctica, Architects, Civilization, Egypt, Philosophy, Science, US History, Humor, Mystery, Business & Economics, Computer games, social science, Space, Books About Books, Politics, Technology, Memoir, Law, African Americans, Chronology, Travel, Islam and politics, Capitalism"
Fantasy,"Children,  Human, Paranormal, Games, adult, Asia,  Lyra (Fictitious character), Alliances, Boys, Action, Contests, science fiction fantasy, Fiction, Retelling, Fairy Tale Retelling, Brothers, Detective and mystery stories, Paranormal Romance, Odysseus (Greek mythology), Manga, Literary Fiction, Comics, psychological horror, Women, Mystical powers, Young Adult Fiction, greek mythology, Death (Personification), Historical Romance, quest, indigenous, Retellings, Imaginary places, Holiday, Children's stories, Carnivorous plants, Education, Best friends, science fantasy, Ability, informative, Erotic stories, War, Good and evil, Japan, Contemporary, Children's Literature, Family, Science fiction romance, Supernatural Fiction, Supernatural, Fairy tales, Barbarians, Romantasy, Space Opera, Gay men, Siblings, Demoniac possession, Progression Fantasy, fae, Arts, Fantasy romance, New adult fantasy, Murder, Psychology, Adventure, Classics, Camps, Animals, Slice of life, Aliens, Apprentices,  American, Balls (Parties), Immortality, Teenagers, Fables, Thriller, Abused wives, Families, Belacqua, Biography, low fantasy, Fantasy comic books, Horror, Post Apocalyptic, Electronic books, Dark Fantasy, Religion & Spirituality, pulp fiction, Vietnam, Religion, Psychological thriller, Feminism, Literary Collections, Detectives, New adult, Dystopian, Absentee fathers, Young Adult, Boarding school, Enemies to lovers, History, fantas, Historical Fiction, Clans,  etc, Mythology, Academic writing, Alaska, Screenplay, Blessing and cursing, College graduates, Literature, Anxiety in adolescence, Criminal investigation, Housekeepers, Contemporary Romance, Battles, Epic Fantasy, Comics & Graphic Novels, erotica, Suspense,  Diana (Fictitious character), Fairies, Romance, Hobbits (Fictitious characters), Antiheroes, Urban Fantasy, Community life, LGBTQ, Conspiracies, Imaginary wars and battles, Friendship, dragons, Plays, Forgers, Abnormalities, Demonology, Fantasy., Smutty, Bishop, Time Travel,  Mythical, Attempted assassination, Chick Lit, Steampunk, Dark Academia, Assassins, Gods and goddesses, Gothic novels, Police, Tragedy, China, Air warfare, Biography & Autobiography, Lesbians, science-fiction, End of the world, Adventure stories, Romantic Comedy, Humorous fantasy, Death, Romantic Suspense, Queer, Curiosities and wonders, Vampires, murder mystery, Drama, Paranormal romance, warfare, gods, Buddhist gods, Middle Grade, literary criticism, Fantasy, Forests and forestry, Philosophy, Fantastic fiction, Asian Literature, Sword and Sorcery, Science, Poetry, Betrayal, Humor, Fanfiction, dystopian, Magic Realism, Science fiction, Graphic novels, Young Adult Romance, Businessmen, Historical Fantasy, Young adult fantasy, Dark Romance, High Fantasy, Angels, Mystery, adventurous, Short stories, short story, Spanish, Corruption, Magic, Assasins, Folklore, Magical Realism, Archetype (Psychology), Bands (Music), Space, Politics, Fantasy fiction, Dungeons and Dragons (Game), Fathers and sons, Gothic, Magical School, Art, Buddhist nuns, Novella, Mythological, Gothic Horror, Bodyguards, Omegaverse, Alchemy, Japanese literature, Coffee shops, African Americans, Travel, Adult Fiction"
Mystery,"cosy mystery, Children, Paranormal, adult, Mystery fiction, Fiction, Detective and mystery stories, Literary Fiction, Comics, Women, Young Adult Fiction, Retellings, Historical Mystery, Education, Couples, Family & Relationships, Family secrets, Contemporary, War, Apartment houses, Family, Adultery, Supernatural, Space Opera, Gossip,  Hercule (Fictitious character), Forensic Science, Disability, True crime, Murder, Psychology, Adventure, Classics, American fiction, Women lawyers, Aliens,  American, Survival, Thriller, Young Sleuth, Clergy, Christmas, Clubs, Horror, Husbands, Human-animal relationships, Western, Psychological thriller, Literary Collections, Blizzards, Dystopian,  Jane (Fictitious character), Young Adult, Fame, History, Historical Fiction,  Dutch, women, Literature, Contemporary Romance, Comics & Graphic Novels, Crime, Cults, Suspense, Kidnapping, Romance, LGBTQ, Friendship, Brainwashing, Manors, Police, Extortion, Vampires, Drama, Fantasy, Humor, Suspense fiction, Science fiction, Celebrities, College students, Mystery, Government investigators, Short stories, vigilante, Domestic drama, Magic, Detective and mystery fiction, comedy, Magical Realism, Space, Medical examiners (Law), Gothic, Contemporary Fiction, Abused, Novella, Gothic Horror, Abused women, psychological thriller, Whodunnit"
Nonfiction,"Children, political science, Games, Crime investigations, Computer software, Fraud, Essay, Design, Neuroscience, Technology & Engineering, Activism, tech development, Fiction, Cooking, Computer Science, Women, Nonfiction, Basic income, Mathematics, Sociology, Education, Family & Relationships, Emotions, Feminist Theory, Biology, Food, informative, Nature, War, Economics, Finance, Assertiveness (Psychology), Family, Programming, Sex instruction for women, God, Ethics, Arts, True crime, Psychology, Murder, Productivity, Classics, Mental health, Language Arts & Disciplines, Race, Ghosts & Hauntings,  American, Sports, Biography, Critical thinking, Attention, Games & Activities, non-fiction, Religion, Feminism, Literary Collections, Social Issues, Chance, reference, History, Anxiety disorders, Racism, Writing, Health & Fitness, Academic writing, Conduct of life, Immigrants, Self-Help, Cognition, Rationalism, Literature, Errors, Pedagogy, Spiritualism, Crime, Medical, House & Home, Romance, Disasters, Belief and doubt, Business, autobiography, Advice, Anecdotes, Friendship, Human behavior, Computers, Innovation,  Mind & Spirit, Bureaucracy, Introversion, Inspirational, Biography & Autobiography, Humanities, Dead, Personal Development, Parenting, literary criticism, Cookbook, Philosophy, Science, Leadership, Humor, Geography, Algorithms, Health, Behavior, Celebrities, Business & Economics, Decision making, Essays, Consumers' preferences, Consumption (Economics), Spanish, comedy, Marathon running, social science, Space, Politics, Information technology, Self help, Art, Body, Technology, Memoir, Law, Adulthood, Linguistics, African Americans, Travel, Spirituality"
Classics,"Children, political science, Stoicism, Fiction, Books and reading, Brothers, Computer Science, England, Comics, psychological horror, Mothers, Women, Nonfiction, Presidents, Energy policy,  artistic, Mathematics, Blue collar workers, Education, Family & Relationships, Neurology, War, Nature, Juvenile Nonfiction, Economics, Finance, Family,  Chinese, Animal rights, Siblings, True crime, Irish Americans, Psychology, Murder, Classics, Adventure, Mental health, Language Arts & Disciplines, Juvenile Fiction,  American, Mental illness, Thriller, Speeches, Biography, Foreign Language Study, Electronic books, Horror, non-fiction, Religion, Evolution, Psychological thriller, Feminism, Literary Collections, Dystopian, Minimum wage, Young Adult, History, Investments, Historical Fiction, Conduct of life, Self-Help, Literature, Business ethics, Medical, Romance, Business, LGBTQ, Plays, Friendship, Computers, Artificial Intelligence, Dark Comedy,  Mind & Spirit, Biography & Autobiography, Drama, Indonesia, literary criticism, Epic Poetry, Fantasy, Philosophy, Poetry, Leadership, Science, Humor, Science fiction,  etc.), Graphic novels, City planners, Self-actualization (Psychology), Art and music, Celebrities, Business & Economics, Mystery, Investing, Artificial intelligence., Essays, Spanish, social science, Space, Politics, Gothic, Art, Self help, Body, Feminist ethics, Memoir, Regency Romance, African Americans, Travel, Control (Psychology)"
Science fiction,"Paranormal, adult, Artists' books, science fiction fantasy, Fiction, Detective and mystery stories, Literary Fiction, Comics, Nonfiction, Young Adult Fiction, Mathematics, Education, furry, science fantasy, Life on other planets, Cities and towns, Contemporary, War, Family, Space Opera, Native Americans, Murder, Dune (Imaginary place), Classics, Adventure, Juvenile Fiction, Aliens,  American, Thriller, Robots, Biography, Scotland, Horror, Post Apocalyptic, lgbtqia+, Dystopian, Noir, Young Adult, History, Interplanetary voyages, Literature, Suspense, Apocalypse, Romance, LGBTQ, Friendship, Demonology, Computers, Overpopulation, Time Travel, Artificial Intelligence, Drugs, Curiosities and wonders, Solarpunk, Fantasy, dystopian, Science, Humor, Science fiction, Computer hackers, Immortalism, German language, Celebrities, Mystery, alien, Short stories, Intelligence officers, Carnival owners, Magic, Detective and mystery fiction, General, Magical Realism, social science, Space, Fathers and sons, Technology, alternate history, Action and adventure,  Jim (Fictitious character), Astronauts, Travel, Amnesia"
Religion & Philosophy,"Psychology, Classics, political science, Entitlement attitudes, Language Arts & Disciplines, Language and languages, Philosophers, Business & Economics, Fiction, Filozofi, Change (Psychology), Appointment books, Nonfiction,  Mind & Spirit, ideology, General, social science, Religion, Education, Politics, Body, Habit, Knowledge, Philosophy, Self-Help, Ethics"
Humor,"Mathematics, Crafts & Hobbies, Games & Activities, Humor"
Biography,"Native Americans, Undertakers and undertaking, Psychology, Anti-racism, Adventure, political science, African American authors, Mental health, Grief, Business & Economics,  American, Business, Botany, Technology & Engineering, autobiography, Biography, Cooking, Biography Memoir, Women, Nonfiction, comedy, social science, General, Religion, Disability, Space, Politics, Psychotherapists, Family & Relationships, Biography & Autobiography, Self help, Nature, Technology, Memoir, Heist, Family, History, Japanese literature, African Americans, Philosophy, Travel, Science, Self-Help, Humor, Falconry, Autoimmune diseases"
Children's Fiction,"Fiction, Classics, Adventure, Crime, Juvenile Fiction, Comics, Adventure stories, Mystery, Young Adult,  Swiss (German), Children's stories"
Action & Adventure,"Science fiction,  Jason (Fictitious character), Adventure, Classics, Agriculture, Suspense, Aliens, Mystery, Surfers, LGBTQ, Thriller, Sports, autobiography, Biography, Autobiographical fiction, Comics, Seas, Nonfiction, Amazon River Region, General, social science, Sports & Recreation, Assassins, Space, Education, Mountaineering expeditions, Biography & Autobiography, Dystopian, Adventure stories, War, Puzzles, Young Adult, Antarctica, Memoir, Spy, History, Espionage, Bookstores, Fantasy, Travel, Science, Humor, Australia"
Comics,"Science fiction, Contemporary Romance, Graphic novels, Comics & Graphic Novels, Classics, Adventure, Adventure and adventurers, House & Home, Slice of life, Romance, Urban Fantasy, LGBTQ, Biography, low fantasy, Fiction, Manga, Comics, Nonfiction, Horror, Biography & Autobiography, Dystopian, Self help, War, Young Adult, Memoir, Family, History, Fantasy, Philosophy, Science, Queer Manga, Humor, Literature"
Self-help,"Psychology, Fiction, Classics, Philosophy, Nonfiction, Business & Economics, Self-Help, Young Adult"
Business & Economics,"Finance, Male domination, Entrepreneurship, Productivity, Industrial productivity, Psychology, Spanish, Self-management (Psychology),  Personal, Economics, Computer Science, Nonfiction, Business & Economics, Self help, Business, Technology, social science, Sports"
Science,"Psychology, Dreams, Business & Economics, tech development, Computers, Artificial Intelligence, Women, Nonfiction, Big data, social science, Mathematics, Astrophysics, Space, Mental discipline, Art, Nature, Technology, Materials science, Data Visualization, Data, Health & Fitness, Astronomy, Science, Animal communication, Memory"
Biography & Autobiography,"Adventure, Celebrities, Mental illness, LGBTQ, High technology industries, Biography, Women, Nonfiction, Presidents, General, Feminism, Space, Politics, Biography & Autobiography, Journal, Juvenile Nonfiction, Adult children of dysfunctional families, Memoir, Family, Philosophy, Travel, Humor, India"
Short stories,"Feminism, Fiction, Classics, Mental health, adult, Literary Fiction, Romance, Poetry, Nonfiction, Contemporary, Women, Short stories, Magical Realism"
War,"autobiography, Biography, WW2, political science, Family, Korea (North), Historical Fiction, Fathers and sons, Biography & Autobiography, Computers, Dystopian, Philosophy, Travel, Nonfiction, Self help, War, Memoir, social science"
Psychology,"Psychology, Productivity, Family & Relationships, Adaptability (Psychology), General, Computers, Philosophy, Health & Fitness, Women, Self-Help,  Mind & Spirit, Body, Guilt"
LGBTQ,"Romance, Business & Economics,  American, Short stories, Essays, LGBTQ, Biography, Fiction, Spanish, Comics, Magic, Women, Nonfiction, General, social science, African Americans in mass media, Biography & Autobiography, War, Queer, Memoir, M M Romance,  English, Family, Historical Fiction, Philosophy, Poetry"
Dystopian,"Science fiction, Space, Fiction, Fantasy, Canada, Biography & Autobiography, Dystopian, Aliens, War, Young Adult, Novella, LGBTQ, Post Apocalyptic"
Romance,"Science fiction, Contemporary Romance, Abuse, Cults, erotica, adult, Dark Romance, Stalker, Erotica, College, Kidnapping, Romance, LGBTQ, Thriller, Mafia Romance, Asian Americans, Mafia, Fiction, Christmas, Brothers, Paranormal Romance, Sports Romance, Smutty, Flight attendants, Time Travel, Bully Romance, Chick Lit, Retellings, Magical Realism, romcoms, Dark, College Romance, Erotic stories, Contemporary, Young Adult, Romantic Suspense, High school, Enemies to lovers, Fantasy, Spicy, adult romances, BDSM"
Literary Collections,"Folklore, Literary Collections"
